bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
soldier-8787c715,brandonmartinez@yahoo.com,us-east-1a,True,,False,2024-05-19T22:51:58.818297
away-1fe5f821,mikaylasmith@ingram-hensley.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-173-days"", ""action"": ""Delete"", ""days_after_creation"": 173}]}",False,2025-05-08T22:51:58.818835
consumer-cbe8c8d3,jamesmarcia@gmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-309-days"", ""action"": ""Delete"", ""days_after_creation"": 309}]}",True,2023-07-15T22:51:58.819116
me-e9195617,moralesandrea@yahoo.com,us-east-1a,False,,False,2023-07-07T22:51:58.819352
source-2ca6642e,dhull@hotmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-76-days"", ""action"": ""Delete"", ""days_after_creation"": 76}]}",False,2023-10-21T22:51:58.819533
its-3d7d83d9,brendafreeman@bell-tran.com,us-east-1a,False,,True,2023-08-17T22:51:58.820002
continue-ed6ade36,orobinson@gmail.com,us-east-1b,False,,True,2023-01-20T22:51:58.820187
vote-bc046f71,plopez@hotmail.com,us-east-1b,True,,False,2023-01-28T22:51:58.820353
member-5fc2e8e1,griley@parker.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-112-days"", ""action"": ""Delete"", ""days_after_creation"": 112}]}",True,2024-05-11T22:51:58.820850
although-73036def,lori74@baker.biz,us-west-2a,False,,False,2023-04-19T22:51:58.821142
plan-cc85f9cc,wjenkins@gmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-359-days"", ""action"": ""Delete"", ""days_after_creation"": 359}]}",False,2023-01-23T22:51:58.821432
commercial-970b24cf,vbennett@hotmail.com,us-west-2a,False,,True,2024-01-16T22:51:58.821627
change-9b80d2ab,blankenshipjessica@smith-steele.org,us-east-1a,True,,False,2025-07-04T22:51:58.822101
at-ef7ecc33,jlopez@paul.info,us-east-1b,False,,False,2024-04-17T22:51:58.822413
