bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
sign-3bf63d04,qsmith@gmail.com,us-east-1a,False,,True,2024-02-07T22:52:00.178639
take-f7b6be75,samantha62@murphy.com,us-west-2a,False,,True,2025-02-13T22:52:00.179534
economic-cb8ebeea,wmiller@mathews.com,us-east-1a,True,,False,2024-03-30T22:52:00.180045
man-635fdee7,oclark@hotmail.com,us-east-1b,False,,False,2025-07-15T22:52:00.180330
meet-2a0b3094,perezdebra@murphy.org,us-west-2a,True,"{""rules"": [{""id"": ""expire-193-days"", ""action"": ""Delete"", ""days_after_creation"": 193}]}",True,2024-11-20T22:52:00.180921
hotel-d4ab6f58,ismith@martinez.com,us-east-1b,False,,False,2023-02-16T22:52:00.181491
practice-0577cc1c,dlewis@conrad.info,us-west-2a,True,"{""rules"": [{""id"": ""expire-364-days"", ""action"": ""Delete"", ""days_after_creation"": 364}]}",False,2025-02-10T22:52:00.181969
debate-3c11d488,vrice@wilkins.net,us-east-1a,True,"{""rules"": [{""id"": ""expire-356-days"", ""action"": ""Delete"", ""days_after_creation"": 356}]}",True,2023-11-23T22:52:00.182733
note-8b97b93a,michaelholloway@yahoo.com,us-east-1a,True,,True,2023-10-24T22:52:00.183123
study-eaab9fc7,smunoz@brown.biz,us-east-1a,False,"{""rules"": [{""id"": ""expire-141-days"", ""action"": ""Delete"", ""days_after_creation"": 141}]}",True,2025-05-15T22:52:00.183683
wife-c1a10af4,cfernandez@gmail.com,us-east-1b,True,,False,2023-10-27T22:52:00.183969
lead-609e4b60,danielwatson@yahoo.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-283-days"", ""action"": ""Delete"", ""days_after_creation"": 283}]}",False,2023-11-12T22:52:00.184471
theory-06757b1a,williamsdavid@yahoo.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-363-days"", ""action"": ""Delete"", ""days_after_creation"": 363}]}",True,2022-12-31T22:52:00.184809
operation-cdac73cd,angela97@gmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-83-days"", ""action"": ""Delete"", ""days_after_creation"": 83}]}",False,2023-05-13T22:52:00.185050
laugh-8a3e12d4,dale43@yahoo.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-166-days"", ""action"": ""Delete"", ""days_after_creation"": 166}]}",False,2024-07-08T22:52:00.185243
likely-f6e0f516,william66@yahoo.com,us-east-1a,True,,False,2023-03-07T22:52:00.185530
majority-63113c09,ulopez@ramsey.info,us-west-2a,False,"{""rules"": [{""id"": ""expire-277-days"", ""action"": ""Delete"", ""days_after_creation"": 277}]}",True,2023-08-05T22:52:00.186137
different-75517667,philip84@smith.biz,us-east-1b,True,"{""rules"": [{""id"": ""expire-130-days"", ""action"": ""Delete"", ""days_after_creation"": 130}]}",True,2023-08-22T22:52:00.186469
key-d9fd4d97,meganhopkins@cobb-anderson.net,us-east-1a,False,,False,2025-05-03T22:52:00.186989
teach-2b6e9ca8,dillonchristine@hotmail.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-91-days"", ""action"": ""Delete"", ""days_after_creation"": 91}]}",False,2023-07-30T22:52:00.187327
thing-6f049ec2,qcampbell@hotmail.com,us-east-1a,False,,False,2025-05-21T22:52:00.187529
avoid-6f1e70c5,michelesimpson@reynolds.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-191-days"", ""action"": ""Delete"", ""days_after_creation"": 191}]}",True,2024-02-25T22:52:00.188186
listen-575cdb38,morgancarson@williams-lee.biz,us-west-2a,True,"{""rules"": [{""id"": ""expire-349-days"", ""action"": ""Delete"", ""days_after_creation"": 349}]}",True,2023-11-05T22:52:00.188721
yet-2c449f5f,allenzachary@hicks-brown.com,us-east-1b,True,,False,2023-11-27T22:52:00.189258
word-142c8e94,thomas74@gutierrez.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-95-days"", ""action"": ""Delete"", ""days_after_creation"": 95}]}",False,2025-07-29T22:52:00.190127
yeah-04a27cee,christopher12@church.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-151-days"", ""action"": ""Delete"", ""days_after_creation"": 151}]}",False,2023-12-27T22:52:00.190709
one-dce032c8,sperez@miller.com,us-west-2a,True,,False,2024-07-26T22:52:00.191424
another-d2491483,gtaylor@gmail.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-351-days"", ""action"": ""Delete"", ""days_after_creation"": 351}]}",False,2024-01-31T22:52:00.191763
