bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
former-1d5f329f,inorman@yahoo.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-67-days"", ""action"": ""Delete"", ""days_after_creation"": 67}]}",False,2025-04-12T22:51:58.406725
information-53460099,marcusgamble@guerrero.com,us-east-1b,False,,True,2023-10-06T22:51:58.407380
by-4cfe033c,erincardenas@griffin.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-226-days"", ""action"": ""Delete"", ""days_after_creation"": 226}]}",False,2025-06-15T22:51:58.408027
receive-6ae8a0aa,courtney55@diaz-reynolds.org,us-west-2a,True,,False,2023-09-09T22:51:58.408391
anything-f9b033dd,michael47@hotmail.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-249-days"", ""action"": ""Delete"", ""days_after_creation"": 249}]}",False,2023-12-05T22:51:58.408577
government-91420a34,wyattronald@hotmail.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-31-days"", ""action"": ""Delete"", ""days_after_creation"": 31}]}",False,2025-05-26T22:51:58.408857
including-68221d9b,holly52@yahoo.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-227-days"", ""action"": ""Delete"", ""days_after_creation"": 227}]}",True,2023-03-01T22:51:58.409030
first-7f435d40,walkerjoseph@gmail.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-174-days"", ""action"": ""Delete"", ""days_after_creation"": 174}]}",False,2023-01-10T22:51:58.409275
list-7982440c,williamdaniel@gmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-151-days"", ""action"": ""Delete"", ""days_after_creation"": 151}]}",False,2023-02-05T22:51:58.409681
maybe-4cc58ec2,wanda14@yahoo.com,us-west-2a,True,,False,2024-11-22T22:51:58.409867
later-9aef514c,rachelgonzalez@gmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-200-days"", ""action"": ""Delete"", ""days_after_creation"": 200}]}",True,2025-01-08T22:51:58.410135
know-62f374fb,robertbruce@schmidt-parrish.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-220-days"", ""action"": ""Delete"", ""days_after_creation"": 220}]}",False,2024-09-03T22:51:58.410625
important-07708a89,jonesrobert@hotmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-326-days"", ""action"": ""Delete"", ""days_after_creation"": 326}]}",False,2023-10-07T22:51:58.410918
well-439a3d24,jamessmith@gmail.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-347-days"", ""action"": ""Delete"", ""days_after_creation"": 347}]}",False,2023-12-05T22:51:58.411181
room-89b73000,whiteanthony@arnold.info,us-east-1b,True,"{""rules"": [{""id"": ""expire-144-days"", ""action"": ""Delete"", ""days_after_creation"": 144}]}",True,2022-12-27T22:51:58.411554
half-43b65ab1,dawnhughes@yahoo.com,us-east-1b,True,,True,2023-02-05T22:51:58.411838
still-c86621d2,brucenatalie@yahoo.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-176-days"", ""action"": ""Delete"", ""days_after_creation"": 176}]}",True,2024-09-24T22:51:58.412112
hospital-34e93509,christopher09@wong.net,us-east-1a,True,,False,2024-05-19T22:51:58.412574
establish-31b79f99,susan44@lloyd.com,us-east-1b,False,,False,2023-09-07T22:51:58.412875
approach-72299329,rodney78@lucas.com,us-west-2a,True,,True,2022-11-22T22:51:58.413209
model-c60f5f81,ohernandez@foster-williams.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-263-days"", ""action"": ""Delete"", ""days_after_creation"": 263}]}",True,2024-10-10T22:51:58.413689
hard-45c6158e,michael75@johnson.com,us-east-1b,False,,True,2024-04-08T22:51:58.413990
thing-ae513735,joshuahall@johnson.com,us-east-1a,True,,True,2023-08-14T22:51:58.414377
trouble-051a3440,stevebush@dillon.biz,us-east-1b,True,"{""rules"": [{""id"": ""expire-317-days"", ""action"": ""Delete"", ""days_after_creation"": 317}]}",False,2025-04-25T22:51:58.414752
population-981ef6c3,peterpayne@hotmail.com,us-east-1a,True,,False,2024-04-24T22:51:58.415057
seek-f20795ae,monicabuchanan@sanders.info,us-east-1a,False,,True,2023-10-21T22:51:58.415449
different-bcf2b257,april44@hotmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-273-days"", ""action"": ""Delete"", ""days_after_creation"": 273}]}",True,2025-01-15T22:51:58.415602
hot-fc867207,jsmall@hotmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-218-days"", ""action"": ""Delete"", ""days_after_creation"": 218}]}",False,2024-04-24T22:51:58.415783
