bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
agreement-49ea3cb9,schmidtjonathan@burton.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-253-days"", ""action"": ""Delete"", ""days_after_creation"": 253}]}",False,2022-12-01T22:51:58.621238
improve-87f9e0e6,ericstark@gmail.com,us-east-1b,False,,False,2025-05-04T22:51:58.621729
activity-b45c6db0,tyler86@gmail.com,us-east-1a,True,,True,2023-10-04T22:51:58.622040
by-02ca3576,jenniferwade@li-caldwell.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-208-days"", ""action"": ""Delete"", ""days_after_creation"": 208}]}",False,2023-06-16T22:51:58.622650
mother-74679db8,grayeric@berg.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-313-days"", ""action"": ""Delete"", ""days_after_creation"": 313}]}",True,2023-05-17T22:51:58.623256
table-c78b1d80,martinshannon@gmail.com,us-east-1a,True,,False,2024-08-14T22:51:58.623519
religious-e52caf28,bishopchristopher@hotmail.com,us-east-1b,False,,True,2024-10-05T22:51:58.623793
others-ab19b220,jamie97@hotmail.com,us-east-1b,False,,False,2024-10-21T22:51:58.623946
report-da66288c,karenmcmillan@ryan.com,us-east-1a,False,,False,2023-11-20T22:51:58.624284
special-b6ad717d,carpenteranna@lang-nguyen.info,us-east-1a,True,"{""rules"": [{""id"": ""expire-140-days"", ""action"": ""Delete"", ""days_after_creation"": 140}]}",True,2024-01-26T22:51:58.624776
special-cd211104,sherrygeorge@alvarez-sherman.biz,us-east-1b,True,,True,2025-01-23T22:51:58.625244
third-a3f36040,whitewilliam@willis.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-142-days"", ""action"": ""Delete"", ""days_after_creation"": 142}]}",False,2023-03-05T22:51:58.625982
doctor-b0255655,erica68@jenkins-wallace.com,us-east-1b,False,,False,2023-10-23T22:51:58.626366
whether-b3c814db,danielle28@yahoo.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-285-days"", ""action"": ""Delete"", ""days_after_creation"": 285}]}",True,2024-06-07T22:51:58.626517
act-38833061,dfarley@harris.com,us-east-1a,False,,True,2023-05-30T22:51:58.627090
control-ffc6876b,johnsonsamuel@hotmail.com,us-west-2a,False,,False,2025-06-13T22:51:58.627366
word-7efa8621,smithmatthew@smith.com,us-east-1b,True,,True,2023-05-05T22:51:58.627723
decade-53268e2c,carlywagner@ramirez.com,us-east-1b,False,,True,2023-02-23T22:51:58.628340
he-c4c16299,stacy68@hall.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-230-days"", ""action"": ""Delete"", ""days_after_creation"": 230}]}",False,2023-12-28T22:51:58.628828
impact-ce0a34c5,ryanodom@hotmail.com,us-east-1b,True,,False,2024-03-12T22:51:58.629294
treat-1033e5b6,robert32@mack.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-147-days"", ""action"": ""Delete"", ""days_after_creation"": 147}]}",True,2025-07-03T22:51:58.629890
