bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
admit-8c8915df,amy42@sellers-moore.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-233-days"", ""action"": ""Delete"", ""days_after_creation"": 233}]}",False,2025-07-26T22:52:01.259892
first-2bdc35c4,johnsondouglas@wilson.net,us-west-2a,False,,False,2025-08-10T22:52:01.260500
affect-98b13176,bgregory@anderson-jennings.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-89-days"", ""action"": ""Delete"", ""days_after_creation"": 89}]}",False,2024-05-04T22:52:01.261536
Mrs-d7042edf,david86@hotmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-176-days"", ""action"": ""Delete"", ""days_after_creation"": 176}]}",False,2024-05-04T22:52:01.261838
model-8246637a,monica11@gmail.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-112-days"", ""action"": ""Delete"", ""days_after_creation"": 112}]}",True,2024-01-01T22:52:01.262288
fish-96ac9737,xthompson@yahoo.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-202-days"", ""action"": ""Delete"", ""days_after_creation"": 202}]}",True,2024-07-09T22:52:01.262682
best-87261114,smithdillon@hotmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-334-days"", ""action"": ""Delete"", ""days_after_creation"": 334}]}",False,2024-01-24T22:52:01.263162
technology-53a78d19,marilyn62@hotmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-210-days"", ""action"": ""Delete"", ""days_after_creation"": 210}]}",True,2023-04-20T22:52:01.263390
discover-226cb702,michellewilliams@thompson-watts.com,us-west-2a,False,,False,2023-01-25T22:52:01.263967
name-ec003510,joannepham@jimenez.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-283-days"", ""action"": ""Delete"", ""days_after_creation"": 283}]}",True,2023-06-22T22:52:01.264364
reach-0b548139,trevorflores@hardy.info,us-east-1b,True,"{""rules"": [{""id"": ""expire-133-days"", ""action"": ""Delete"", ""days_after_creation"": 133}]}",False,2023-01-30T22:52:01.264948
foot-161185c2,wwyatt@payne.com,us-west-2a,True,,False,2023-07-20T22:52:01.265536
six-5959171e,wcabrera@hotmail.com,us-east-1b,False,,True,2023-04-15T22:52:01.265752
office-e7e5ef4a,tina72@yahoo.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-304-days"", ""action"": ""Delete"", ""days_after_creation"": 304}]}",False,2025-06-12T22:52:01.265927
president-51b8f5ea,freemanjustin@king-cole.net,us-east-1a,True,,False,2024-02-27T22:52:01.266378
watch-15562312,zanderson@gmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-281-days"", ""action"": ""Delete"", ""days_after_creation"": 281}]}",True,2023-10-26T22:52:01.266574
miss-850d8508,hartmancindy@hotmail.com,us-east-1b,True,,True,2024-04-07T22:52:01.266852
impact-f6da0d16,owensdiane@edwards.org,us-west-2a,True,,False,2023-09-29T22:52:01.267441
environment-eba11a7c,jasminelewis@hotmail.com,us-east-1b,True,,False,2023-10-27T22:52:01.267699
citizen-9277c42a,caitlin46@hernandez-levine.org,us-east-1a,True,"{""rules"": [{""id"": ""expire-352-days"", ""action"": ""Delete"", ""days_after_creation"": 352}]}",False,2022-12-01T22:52:01.268081
color-ffc93979,bavery@hotmail.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-310-days"", ""action"": ""Delete"", ""days_after_creation"": 310}]}",False,2024-10-04T22:52:01.268278
sign-d375bc1f,lisagibson@gmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-276-days"", ""action"": ""Delete"", ""days_after_creation"": 276}]}",False,2023-11-16T22:52:01.268538
be-8e7171d6,angelaellis@tran-parker.net,us-west-2a,True,"{""rules"": [{""id"": ""expire-75-days"", ""action"": ""Delete"", ""days_after_creation"": 75}]}",False,2023-12-31T22:52:01.269023
