bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
collection-44160411,hector18@rogers-taylor.com,us-west-2a,False,,False,2023-04-22T22:52:01.451243
worry-36a0b18e,michaelwallace@andrews.info,us-east-1a,True,"{""rules"": [{""id"": ""expire-109-days"", ""action"": ""Delete"", ""days_after_creation"": 109}]}",True,2024-01-11T22:52:01.451951
pressure-4c6fb16f,whitemarc@gmail.com,us-east-1b,True,,False,2024-04-15T22:52:01.452266
ball-b0550c99,vmartin@hughes.com,us-west-2a,False,,False,2024-10-09T22:52:01.452610
common-6f73c8a8,jeffreycarter@gmail.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-322-days"", ""action"": ""Delete"", ""days_after_creation"": 322}]}",False,2023-03-03T22:52:01.452908
little-e2c64721,nicholassanchez@gmail.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-244-days"", ""action"": ""Delete"", ""days_after_creation"": 244}]}",True,2024-01-26T22:52:01.453188
even-64dcbc21,briansmith@gmail.com,us-east-1b,False,,False,2024-05-26T22:52:01.453635
for-c6f49ab0,meganchen@finley-baird.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-229-days"", ""action"": ""Delete"", ""days_after_creation"": 229}]}",True,2024-01-08T22:52:01.454153
campaign-efc01d08,jessicanunez@hughes-burke.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-263-days"", ""action"": ""Delete"", ""days_after_creation"": 263}]}",False,2025-05-31T22:52:01.454681
reach-837b4197,nicholasfowler@harris.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-300-days"", ""action"": ""Delete"", ""days_after_creation"": 300}]}",False,2025-01-14T22:52:01.455106
law-3ebd532d,rayheather@yahoo.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-187-days"", ""action"": ""Delete"", ""days_after_creation"": 187}]}",True,2022-12-19T22:52:01.455402
apply-8ccdf950,ymejia@hotmail.com,us-east-1a,True,,False,2023-09-16T22:52:01.455609
read-79fdebbb,blevinsanthony@gmail.com,us-east-1a,False,,True,2023-04-30T22:52:01.455919
staff-08c53d1b,ernestnichols@hansen.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-85-days"", ""action"": ""Delete"", ""days_after_creation"": 85}]}",True,2024-10-07T22:52:01.456548
break-34ad84c1,yvillarreal@harper.com,us-east-1b,False,,False,2022-11-28T22:52:01.457143
dark-d274c580,emilyholt@hotmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-74-days"", ""action"": ""Delete"", ""days_after_creation"": 74}]}",True,2023-03-11T22:52:01.457487
clear-5fe051fd,nguyenbrent@deleon.com,us-west-2a,False,,True,2022-12-15T22:52:01.458152
beat-18980c1a,fhendrix@price.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-303-days"", ""action"": ""Delete"", ""days_after_creation"": 303}]}",False,2023-12-04T22:52:01.458489
black-e2e10aaa,vgray@yahoo.com,us-east-1a,False,,True,2023-06-22T22:52:01.458660
law-efc2ca6c,pamela32@yahoo.com,us-east-1b,True,,False,2023-02-13T22:52:01.458846
catch-2f784df7,logan81@yahoo.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-234-days"", ""action"": ""Delete"", ""days_after_creation"": 234}]}",True,2024-06-11T22:52:01.459028
official-3c64ee94,bwarner@yahoo.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-49-days"", ""action"": ""Delete"", ""days_after_creation"": 49}]}",False,2025-06-10T22:52:01.459237
phone-42b66338,farrellcorey@gmail.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-60-days"", ""action"": ""Delete"", ""days_after_creation"": 60}]}",True,2023-02-23T22:52:01.459502
ahead-4596844b,alvarezharry@graves.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-69-days"", ""action"": ""Delete"", ""days_after_creation"": 69}]}",True,2024-08-15T22:52:01.459942
look-102d1770,catherine43@yahoo.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-135-days"", ""action"": ""Delete"", ""days_after_creation"": 135}]}",True,2024-06-02T22:52:01.460191
rise-389408f0,zwest@riley-lopez.com,us-east-1a,True,,False,2024-09-21T22:52:01.460646
by-ae3c836e,reneemoore@sellers.info,us-east-1a,True,"{""rules"": [{""id"": ""expire-193-days"", ""action"": ""Delete"", ""days_after_creation"": 193}]}",False,2022-11-28T22:52:01.461060
shake-8fcf1b27,qyang@yahoo.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-233-days"", ""action"": ""Delete"", ""days_after_creation"": 233}]}",False,2024-04-17T22:52:01.461236
big-b7888456,bairdmelinda@wilson.net,us-west-2a,True,,True,2023-06-12T22:52:01.461877
style-946c535a,aaron92@gmail.com,us-east-1a,True,"{""rules"": [{""id"": ""expire-120-days"", ""action"": ""Delete"", ""days_after_creation"": 120}]}",False,2025-04-18T22:52:01.462061
east-051aa433,smithkenneth@webb.biz,us-west-2a,False,"{""rules"": [{""id"": ""expire-340-days"", ""action"": ""Delete"", ""days_after_creation"": 340}]}",True,2025-02-22T22:52:01.462484
exist-cece93ea,diane95@fisher-fowler.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-254-days"", ""action"": ""Delete"", ""days_after_creation"": 254}]}",False,2024-02-24T22:52:01.462901
myself-cb77165a,eshea@yahoo.com,us-west-2a,False,,False,2023-10-30T22:52:01.463099
way-36192040,qmunoz@gmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-354-days"", ""action"": ""Delete"", ""days_after_creation"": 354}]}",True,2023-11-05T22:52:01.463301
policy-9eabce10,ballsamuel@yahoo.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-267-days"", ""action"": ""Delete"", ""days_after_creation"": 267}]}",False,2023-08-25T22:52:01.463536
write-d0933e02,xcook@gmail.com,us-east-1a,False,,True,2024-09-02T22:52:01.463733
find-170d9d96,bsmith@dixon.com,us-east-1b,False,,True,2024-04-27T22:52:01.464316
raise-44235a2a,christopherkaiser@baxter-frost.com,us-west-2a,True,,False,2024-03-27T22:52:01.464804
work-7a84e9d2,itaylor@burns.com,us-east-1b,False,,True,2025-07-29T22:52:01.465122
professional-2911f12a,gonzalesdeanna@yahoo.com,us-west-2a,True,,False,2024-01-12T22:52:01.465441
measure-46b1f3be,davidjenkins@hotmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-266-days"", ""action"": ""Delete"", ""days_after_creation"": 266}]}",True,2023-04-18T22:52:01.465724
suffer-d828c343,richard86@yahoo.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-243-days"", ""action"": ""Delete"", ""days_after_creation"": 243}]}",True,2023-01-04T22:52:01.465904
